seed	cohort	lineage_id	scenario_id	passage_id	passage_recorded	reseed_mode	available_cells	required_cells	supply_ratio	boundary_scale	cell_number_before	cell_number_after	n_state_components	max_abs_state_difference	insufficient_state_identical	proportional_downsample_exact	boundary_scale_at_most_one
340	4N	C	4N-C	SUM-159_NLS_4N_C_A11_seed	TRUE	downsample_to_observed_inoculum	2131775.35928832	537090	3.96912130050517	0.251944932968595	2131775.35928832	537090	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A12_seed	TRUE	terminal_no_reseed	4555841.92982035	NA	NA	1	4555841.92982035	4555841.92982035	133	0	NA	NA	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A1_seed	TRUE	downsample_to_observed_inoculum	12692350.9071592	469077	27.0581395104838	0.0369574559851961	12692350.9071592	469077	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A2_seed	TRUE	downsample_to_observed_inoculum	16541335.007941	979523	16.8871328268361	0.0592166835101133	16541335.007941	979523	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A3_seed	TRUE	downsample_to_observed_inoculum	34535418.5810886	477491	72.3268471679855	0.0138261245879751	34535418.5810886	477491	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A4_seed	TRUE	downsample_to_observed_inoculum	16825594.4836228	487308	34.5276385440478	0.0289623050451097	16825594.4836228	487308	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A5_seed	TRUE	downsample_to_observed_inoculum	17147735.4391561	647172	26.4964112154978	0.0377409601574684	17147735.4391561	647172	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A6_seed	TRUE	downsample_to_observed_inoculum	22562424.5778383	267844	84.2371849951402	0.0118712418993784	22562424.5778383	267844	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A7_seed	TRUE	carry_forward_insufficient	352065.91845078	358294	0.982617399260887	1	352065.91845078	352065.91845078	133	0	TRUE	NA	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A8_seed	TRUE	carry_forward_insufficient	437792.726834555	515769	0.848815510111222	1	437792.726834555	437792.726834555	133	0	TRUE	NA	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A9_seed	TRUE	downsample_to_observed_inoculum	574302.090796689	447817	1.28244816698939	0.779758609930837	574302.090796689	447817	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A10_seed	TRUE	downsample_to_observed_inoculum	586814.115332543	451159	1.30068139022505	0.768827790968067	586814.115332543	451159	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A11_seed	TRUE	downsample_to_observed_inoculum	590574.68550965	465640	1.26830745964618	0.788452352301836	590574.68550965	465640	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A12_seed	TRUE	carry_forward_insufficient	608923.676897592	764185	0.796827570415006	1	608923.676897592	608923.676897592	133	0	TRUE	NA	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A13_seed	TRUE	downsample_to_observed_inoculum	677723.334798223	444475	1.52477267517458	0.655835467333189	677723.334798223	444475	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A14_seed	TRUE	downsample_to_observed_inoculum	757498.9391774	296317	2.55638029265078	0.391178105571716	757498.9391774	296317	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A15_seed	TRUE	downsample_to_observed_inoculum	559550.059782264	403258	1.3875733644026	0.72068261445083	559550.059782264	403258	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A16_seed	TRUE	downsample_to_observed_inoculum	842870.347449455	824339	1.02248025078209	0.978014000011352	842870.347449455	824339	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A17_seed	TRUE	downsample_to_observed_inoculum	1071665.31152131	627166	1.70874267980298	0.585225623389534	1071665.31152131	627166	133	0	NA	TRUE	TRUE
340	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A18_seed	TRUE	downsample_to_observed_inoculum	815014.557110229	601545	1.35486880800311	0.738078841355766	815014.557110229	601545	133	0	NA	TRUE	TRUE
