cohort	segment_id	parent_segment_id	depth	oxygen_pct	data_ids	n_data_ids	duration_days	duration_source	initial_cells	final_cells
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	8	0	SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed	2	5	observed_median	345673	5198765.5
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	9	20.5	SUM-159_NLS_4N_C_A8_seed	1	3	observed_median	1532740	9561746
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	9	1	SUM-159_NLS_4N_O1_A7K_seed;SUM-159_NLS_4N_O2_A7K_seed	2	14	fallback_14d	NA	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	9	0	SUM-159_NLS_4N_O1_A8_seed;SUM-159_NLS_4N_O2_A8_seed	2	4	observed_median	320080.5	5833314
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	10	20.5	SUM-159_NLS_4N_C_A9_seed	1	2	observed_median	955684	8405530
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	10	0	SUM-159_NLS_4N_O1_A9_seed;SUM-159_NLS_4N_O2_A9_seed	2	5	observed_median	540833.5	4739950.5
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	11	20.5	SUM-159_NLS_4N_C_A10_seed	1	3	observed_median	728507	9314937
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	11	0	SUM-159_NLS_4N_O1_A10_seed;SUM-159_NLS_4N_O2_A10_seed	2	5	observed_median	477894	4937680.5
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	12	20.5	SUM-159_NLS_4N_C_A11_seed	1	2	observed_median	512549	4394883
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	12	0	SUM-159_NLS_4N_O1_A11_seed;SUM-159_NLS_4N_O2_A11_seed	2	5	observed_median	427765.5	5254605.5
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	13	20.5	SUM-159_NLS_4N_C_A12_seed	1	3	observed_median	537090	8632005
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	13	0	SUM-159_NLS_4N_O1_A12_seed;SUM-159_NLS_4N_O2_A12_seed	2	5	observed_median	517997	4463128.5
