cohort	segment_id	passage_id	sample_name	oxygen_pct	cumulative_end_day	grid_index	ploidy	density	log_density
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	93	4.19849246231156	0.000230663706719307	-8.37454972323878
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	94	4.23869346733668	0.000186394756715582	-8.58764378531667
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	95	4.27889447236181	2.33320388515357e-05	-10.6656830839133
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	96	4.31909547738693	0.000209189315569825	-8.47227089987975
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	97	4.35929648241206	4.22616753012464e-05	-10.0716299038445
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	98	4.39949748743719	2.1922291554153e-05	-10.7280065596445
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	99	4.43969849246231	6.88073090216397e-05	-9.58420058288795
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	100	4.47989949748744	3.44664482972967e-05	-10.2755242202465
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	101	4.52010050251256	5.95536658201598e-08	-16.6363879843469
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	102	4.56030150753769	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	103	4.60050251256281	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	104	4.64070351758794	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	105	4.68090452261307	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	106	4.72110552763819	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	107	4.76130653266332	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	108	4.80150753768844	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	109	4.84170854271357	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	110	4.88190954773869	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	111	4.92211055276382	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	112	4.96231155778894	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	113	5.00251256281407	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	114	5.0427135678392	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	115	5.08291457286432	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	116	5.12311557788945	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	117	5.16331658291457	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	118	5.2035175879397	3.27727019929574e-07	-14.9310848313921
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	119	5.24371859296482	4.20680920351708e-05	-10.0762210135374
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	120	5.28391959798995	1.92034127746244e-07	-15.4655927320357
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	121	5.32412060301508	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	122	5.3643216080402	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	123	5.40452261306533	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	124	5.44472361809045	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	125	5.48492462311558	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	126	5.5251256281407	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	127	5.56532663316583	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	128	5.60552763819095	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	129	5.64572864321608	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	130	5.68592964824121	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	131	5.72613065326633	9.99314769973045e-13	-27.6317065808329
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	132	5.76633165829146	9.99314769973045e-13	-27.6317065808329
