cohort	segment_id	parent_segment_id	passage_id	oxygen_pct	cumulative_start_day	cumulative_end_day	passage_duration	observed_growth	initial_cells	final_cells	n_kary	n_flow	flow_sample_name
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A8_seed	0	61	65	4	0.671802019601772	358294	5832757	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A8_seed	0	61	65	4	0.700929182641856	281867	5833871	0	0	NA
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A9_seed	20.5	47	49	2	1.08710889354088	955684	8405530	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	SUM-159_NLS_4N_O1_A9_seed	0	65	70	5	0.43989081937769	515769	4745520	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	SUM-159_NLS_4N_O2_A9_seed	0	65	70	5	0.421831161602466	565898	4734381	0	0	NA
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A10_seed	20.5	49	52	3	0.849459095117841	728507	9314937	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	SUM-159_NLS_4N_O1_A10_seed	0	70	75	5	0.474021738864105	447817	4731039	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	SUM-159_NLS_4N_O2_A10_seed	0	70	75	5	0.463511346178554	507971	5144322	0	0	NA
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A11_seed	20.5	52	54	2	1.07439993620309	512549	4394883	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	SUM-159_NLS_4N_O1_A11_seed	0	75	80	5	0.498582784895203	451159	5387168	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	SUM-159_NLS_4N_O2_A11_seed	0	75	80	5	0.525990411811393	404372	5122043	0	0	NA
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A12_seed	20.5	54	57	3	0.925688802648849	537090	8632005	0	200	SUM-159_NLS_4N_C_A12
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	SUM-159_NLS_4N_O1_A12_seed	0	80	85	5	0.440115624122669	465640	4086049	0	200	SUM-159_NLS_4N_O1_A12
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	SUM-159_NLS_4N_O2_A12_seed	0	80	85	5	0.433757116881066	570354	4840208	0	200	SUM-159_NLS_4N_O2_A12
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A13_seed	0	85	87	2	0.371107456439524	764185	1605234	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A13_seed	0	85	87	2	0.505475958368874	623824	1714403	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A14_seed	0	87	97	10	0.295310180980102	444475	7571667	0	0	NA
