harvest	treatment_day	ploidy	label	cell_count	cell_count_int
SUM159-4N-0-R_harvest	46	4.86363636363636	MS_dead	439.63193596843	440
SUM159-4N-0-R_harvest	46	4.90909090909091	MS_dead	305.125906298108	305
SUM159-4N-0-R_harvest	46	4.95454545454545	MS_dead	206.587610536552	207
SUM159-4N-0-R_harvest	46	5	MS_dead	139.478717140126	139
SUM159-4N-0-R_harvest	46	5.04545454545455	MS_dead	112.502225400123	113
SUM159-4N-0-R_harvest	46	5.09090909090909	MS_dead	97.1979872434909	97
SUM159-4N-0-R_harvest	46	5.13636363636364	MS_dead	90.3119849472732	90
SUM159-4N-0-R_harvest	46	5.18181818181818	MS_dead	89.33919103289	89
SUM159-4N-0-R_harvest	46	5.22727272727273	MS_dead	93.0283957007202	93
SUM159-4N-0-R_harvest	46	5.27272727272727	MS_dead	102.481694371582	102
SUM159-4N-0-R_harvest	46	5.31818181818182	MS_dead	122.85425452885	123
SUM159-4N-0-R_harvest	46	5.36363636363636	MS_dead	166.325075410276	166
SUM159-4N-0-R_harvest	46	5.40909090909091	MS_dead	254.992348854872	255
SUM159-4N-0-R_harvest	46	5.45454545454545	MS_dead	421.963097707809	422
SUM159-4N-0-R_harvest	46	5.5	MS_dead	706.315789053159	706
SUM159-4N-0-R_harvest	46	5.54545454545455	MS_dead	1140.61615988391	1141
SUM159-4N-0-R_harvest	46	5.59090909090909	MS_dead	1731.09375125259	1731
SUM159-4N-0-R_harvest	46	5.63636363636364	MS_dead	2441.68173748061	2442
SUM159-4N-0-R_harvest	46	5.68181818181818	MS_dead	3188.63052877523	3189
SUM159-4N-0-R_harvest	46	5.72727272727273	MS_dead	3860.14664508482	3860
SUM159-4N-0-R_harvest	46	5.77272727272727	MS_dead	4346.1478658509	4346
SUM159-4N-0-R_harvest	46	5.81818181818182	MS_dead	4578.21036331131	4578
SUM159-4N-0-R_harvest	46	5.86363636363636	MS_dead	4543.03979329964	4543
SUM159-4N-0-R_harvest	46	5.90909090909091	MS_dead	4286.487285887	4286
SUM159-4N-0-R_harvest	46	5.95454545454545	MS_dead	3883.06502765735	3883
SUM159-4N-0-R_harvest	46	6	MS_dead	3418.32065795314	3418
SUM159-4N-0-R_harvest	46	6.04545454545455	MS_dead	2959.09880756858	2959
SUM159-4N-0-R_harvest	46	6.09090909090909	MS_dead	2550.91619751642	2551
SUM159-4N-0-R_harvest	46	6.13636363636364	MS_dead	2212.36763241344	2212
SUM159-4N-0-R_harvest	46	6.18181818181818	MS_dead	1950.37485774722	1950
SUM159-4N-0-R_harvest	46	6.22727272727273	MS_dead	1755.81783740657	1756
SUM159-4N-0-R_harvest	46	6.27272727272727	MS_dead	1620.17681373084	1620
SUM159-4N-0-R_harvest	46	6.31818181818182	MS_dead	1527.80821543976	1528
SUM159-4N-0-R_harvest	46	6.36363636363636	MS_dead	1469.27402408356	1469
SUM159-4N-0-R_harvest	46	6.40909090909091	MS_dead	1430.83641062914	1431
SUM159-4N-0-R_harvest	46	6.45454545454545	MS_dead	1406.42434038439	1406
SUM159-4N-0-R_harvest	46	6.5	MS_dead	1385.92711543372	1386
SUM159-4N-0-R_harvest	46	6.54545454545455	MS_dead	1366.95675239565	1367
SUM159-4N-0-R_harvest	46	6.59090909090909	MS_dead	1342.67593601859	1343
SUM159-4N-0-R_harvest	46	6.63636363636364	MS_dead	1313.5991964773	1314
SUM159-4N-0-R_harvest	46	6.68181818181818	MS_dead	1275.38812945425	1275
SUM159-4N-0-R_harvest	46	6.72727272727273	MS_dead	1230.50038155468	1231
SUM159-4N-0-R_harvest	46	6.77272727272727	MS_dead	1176.36581963435	1176
SUM159-4N-0-R_harvest	46	6.81818181818182	MS_dead	1116.51153438122	1117
SUM159-4N-0-R_harvest	46	6.86363636363636	MS_dead	1049.5281760618	1050
SUM159-4N-0-R_harvest	46	6.90909090909091	MS_dead	979.295610658131	979
SUM159-4N-0-R_harvest	46	6.95454545454545	MS_dead	905.070213139148	905
SUM159-4N-0-R_harvest	46	7	MS_dead	830.550548989402	831
SUM159-4N-0-L_harvest	46	1	live	1.46018366524659e-05	0
SUM159-4N-0-L_harvest	46	1.04545454545455	live	0.000591112253544087	0
SUM159-4N-0-L_harvest	46	1.09090909090909	live	0.0101436673605415	0
SUM159-4N-0-L_harvest	46	1.13636363636364	live	0.104833824641671	0
SUM159-4N-0-L_harvest	46	1.18181818181818	live	0.755396219483639	1
SUM159-4N-0-L_harvest	46	1.22727272727273	live	4.11879215651563	4
SUM159-4N-0-L_harvest	46	1.27272727272727	live	17.9166568775989	18
SUM159-4N-0-L_harvest	46	1.31818181818182	live	64.5387081796148	65
SUM159-4N-0-L_harvest	46	1.36363636363636	live	197.941970724242	198
SUM159-4N-0-L_harvest	46	1.40909090909091	live	528.196563334841	528
SUM159-4N-0-L_harvest	46	1.45454545454545	live	1247.68659590081	1248
SUM159-4N-0-L_harvest	46	1.5	live	2646.15276929213	2646
SUM159-4N-0-L_harvest	46	1.54545454545455	live	5098.4870805786	5098
SUM159-4N-0-L_harvest	46	1.59090909090909	live	9013.77414860552	9014
SUM159-4N-0-L_harvest	46	1.63636363636364	live	14746.9418089806	14747
SUM159-4N-0-L_harvest	46	1.68181818181818	live	22489.4862138308	22489
SUM159-4N-0-L_harvest	46	1.72727272727273	live	32164.4315977812	32164
SUM159-4N-0-L_harvest	46	1.77272727272727	live	43359.1557652482	43359
SUM159-4N-0-L_harvest	46	1.81818181818182	live	55362.086096179	55362
SUM159-4N-0-L_harvest	46	1.86363636363636	live	67388.806804237	67389
SUM159-4N-0-L_harvest	46	1.90909090909091	live	78940.023455933	78940
SUM159-4N-0-L_harvest	46	1.95454545454545	live	89964.6733184424	89965
SUM159-4N-0-L_harvest	46	2	live	100601.926117437	100602
SUM159-4N-0-L_harvest	46	2.04545454545455	live	110855.764995318	110856
SUM159-4N-0-L_harvest	46	2.09090909090909	live	120621.130485039	120621
SUM159-4N-0-L_harvest	46	2.13636363636364	live	129819.657322507	129820
SUM159-4N-0-L_harvest	46	2.18181818181818	live	138385.377614684	138385
SUM159-4N-0-L_harvest	46	2.22727272727273	live	146262.216942689	146262
SUM159-4N-0-L_harvest	46	2.27272727272727	live	153407.87098992	153408
SUM159-4N-0-L_harvest	46	2.31818181818182	live	159794.359377319	159794
SUM159-4N-0-L_harvest	46	2.36363636363636	live	165399.631152206	165400
SUM159-4N-0-L_harvest	46	2.40909090909091	live	170194.507083206	170195
