id,cellLine,passaged_from_id1,passage_id,passage,adjPass,date,num_date,correctedCount,label_value,sublabel_value,oxygen_pct,g,intercept
SUM-159_NLS_2N_O1_A3_seed,SUM-159,SUM-159_NLS_2N_O1_A2_seedT2,SUM-159_NLS_2N_O1_A3_seed,11, 3,2024-11-27,0,396157,2N,"starvation
line 1",0.5,0.564954728131391,474956.280252528
SUM-159_NLS_2N_O1_A4_seedT1,SUM-159,SUM-159_NLS_2N_O1_A4_seed,SUM-159_NLS_2N_O1_A4_seed,12, 4,2024-12-06,2,2552931,2N,"starvation
line 1",0.3,0.496979906893512,671364.480347789
SUM-159_NLS_2N_O1_A4_seedT2,SUM-159,SUM-159_NLS_2N_O1_A4_seed,SUM-159_NLS_2N_O1_A4_seed,12, 4,2024-12-09,5,7027045,2N,"starvation
line 1",0.3,0.496979906893512,671364.480347789
SUM-159_NLS_2N_O1_A4_seed,SUM-159,SUM-159_NLS_2N_O1_A3_seedT2,SUM-159_NLS_2N_O1_A4_seed,12, 4,2024-12-04,0,546906,2N,"starvation
line 1",0.3,0.496979906893512,671364.480347789
SUM-159_NLS_2N_O1_A5_seedT2,SUM-159,SUM-159_NLS_2N_O1_A5_seed,SUM-159_NLS_2N_O1_A5_seed,13, 5,2024-12-16,5,11809671,2N,"starvation
line 1",0.2,0.541080883402785,914507.332550787
SUM-159_NLS_2N_O1_A5_seedT1,SUM-159,SUM-159_NLS_2N_O1_A5_seed,SUM-159_NLS_2N_O1_A5_seed,13, 5,2024-12-13,2,3898460,2N,"starvation
line 1",0.2,0.541080883402785,914507.332550787
SUM-159_NLS_2N_O1_A5_seed,SUM-159,SUM-159_NLS_2N_O1_A4_seedT2,SUM-159_NLS_2N_O1_A5_seed,13, 5,2024-12-11,0,733415,2N,"starvation
line 1",0.2,0.541080883402785,914507.332550787
SUM-159_NLS_2N_O1_A6_seedT1,SUM-159,SUM-159_NLS_2N_O1_A6_seed,SUM-159_NLS_2N_O1_A6_seed,14, 6,2024-12-20,2,2397273,2N,"starvation
line 1",0.1,0.550021801500846,581539.829874101
SUM-159_NLS_2N_O1_A6_seedT2,SUM-159,SUM-159_NLS_2N_O1_A6_seed,SUM-159_NLS_2N_O1_A6_seed,14, 6,2024-12-23,5,8016385,2N,"starvation
line 1",0.1,0.550021801500846,581539.829874101
SUM-159_NLS_2N_O1_A6_seed,SUM-159,SUM-159_NLS_2N_O1_A5_seedT2,SUM-159_NLS_2N_O1_A6_seed,14, 6,2024-12-18,0,480997,2N,"starvation
line 1",0.1,0.550021801500846,581539.829874101
SUM-159_NLS_2N_O1_A7_seed,SUM-159,SUM-159_NLS_2N_O1_A6_seedT2,SUM-159_NLS_2N_O1_A7_seed,15, 7,2024-12-25,0,365305,2N,"starvation
line 1",0,0.563777709266853,516897.899092544
SUM-159_NLS_2N_O1_A7_seedT1,SUM-159,SUM-159_NLS_2N_O1_A7_seed,SUM-159_NLS_2N_O1_A7_seed,15, 7,2024-12-27,2,2846718,2N,"starvation
line 1",0,0.563777709266853,516897.899092544
SUM-159_NLS_2N_O1_A7_seedT2,SUM-159,SUM-159_NLS_2N_O1_A7_seed,SUM-159_NLS_2N_O1_A7_seed,15, 7,2024-12-30,5,6872790,2N,"starvation
line 1",0,0.563777709266853,516897.899092544
SUM-159_NLS_2N_O1_A8_seed,SUM-159,SUM-159_NLS_2N_O1_A7_seedT2,SUM-159_NLS_2N_O1_A8_seed,16, 8,2025-05-08,0,273453,2N,"starvation
line 1",0,0.664335909437413,313259.097016976
SUM-159_NLS_2N_O1_A8_seedT1,SUM-159,SUM-159_NLS_2N_O1_A8_seed,SUM-159_NLS_2N_O1_A8_seed,16, 8,2025-05-09,1,729652,2N,"starvation
line 1",0,0.664335909437413,313259.097016976
SUM-159_NLS_2N_O1_A8_seedT2,SUM-159,SUM-159_NLS_2N_O1_A8_seed,SUM-159_NLS_2N_O1_A8_seed,16, 8,2025-05-12,4,4268740,2N,"starvation
line 1",0,0.664335909437413,313259.097016976
SUM-159_NLS_2N_O1_A9_seed,SUM-159,SUM-159_NLS_2N_O1_A8_seedT2,SUM-159_NLS_2N_O1_A9_seed,17, 9,2025-05-14,0,433335,2N,"starvation
line 1",0,0.435214147229313,459974.997959824
SUM-159_NLS_2N_O1_A9_seedT1,SUM-159,SUM-159_NLS_2N_O1_A9_seed,SUM-159_NLS_2N_O1_A9_seed,17, 9,2025-05-16,2,1072755,2N,"starvation
line 1",0,0.435214147229313,459974.997959824
SUM-159_NLS_2N_O1_A9_seedT2,SUM-159,SUM-159_NLS_2N_O1_A9_seed,SUM-159_NLS_2N_O1_A9_seed,17, 9,2025-05-19,5,5298050,2N,"starvation
line 1",0,0.435214147229313,459974.997959824
SUM-159_NLS_2N_O1_A9_seedT3,SUM-159,SUM-159_NLS_2N_O1_A9_seed,SUM-159_NLS_2N_O1_A9_seed,17, 9,2025-05-21,7,8047333,2N,"starvation
line 1",0,0.435214147229313,459974.997959824
SUM-159_NLS_2N_O2_A1_seedT1,SUM-159,SUM-159_NLS_2N_O2_A1_seed,SUM-159_NLS_2N_O2_A1_seed,6, 1,2024-11-18,3,6323079,2N,"starvation
line 2",2,0.795988317378727,580562
SUM-159_NLS_2N_O2_A1_seed,SUM-159,SUM-159_NLS_2N_dp_seedT1,SUM-159_NLS_2N_O2_A1_seed,6, 1,2024-11-15,0,580562,2N,"starvation
line 2",2,0.795988317378727,580562
