solution	objective	context	oxygen_pct	cohort	N_ref	current_N_min	current_N_max	expanded_N_min	expanded_N_max	current_misseg_nonviable_rate	expanded_misseg_nonviable_rate	current_boundary_dropped_rate	expanded_boundary_dropped_rate	upper_truncation_rate_removed	current_boundary_share	expanded_boundary_share	upper_truncation_share_of_current_cin_loss
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.76	5N	110	22	154	22	308	0.154225670811466	0.154225670811466	4.0522484576612e-05	0	4.0522484576612e-05	0.000262678968805874	0	0.000262678968805874
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7625570776256	5N	110	22	154	22	308	0.154059882086207	0.154059882086207	4.05240351625508e-05	0	4.05240351625508e-05	0.000262971631175548	0	0.000262971631175548
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7691808716175	5N	110	22	154	22	308	0.153630157747676	0.153630157747676	4.0528582095606e-05	0	4.0528582095606e-05	0.000263736585445015	0	0.000263736585445015
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.78	5N	110	22	154	22	308	0.152927480893945	0.152927480893945	4.0536140572795e-05	0	4.0536140572795e-05	0.000264997490054721	0	0.000264997490054721
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7853881278539	5N	110	22	154	22	308	0.152577196765702	0.152577196765702	4.05399505769941e-05	0	4.05399505769941e-05	0.000265630662918027	0	0.000265630662918027
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7919443321112	5N	110	22	154	22	308	0.152150693041603	0.152150693041603	4.0544615838652e-05	0	4.0544615838652e-05	0.000266405717324617	0	0.000266405717324617
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8	5N	110	22	154	22	308	0.151626246230455	0.151626246230455	4.05503788753216e-05	0	4.05503788753216e-05	0.000267364906372836	0	0.000267364906372836
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8082191780822	5N	110	22	154	22	308	0.151090736973808	0.151090736973808	4.05562789744414e-05	0	4.05562789744414e-05	0.000268351299731202	0	0.000268351299731202
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8147077926049	5N	110	22	154	22	308	0.15066770713133	0.15066770713133	4.0560769521115e-05	0	4.0560769521115e-05	0.000269134335402219	0	0.000269134335402219
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.82	5N	110	22	154	22	308	0.150322512860706	0.150322512860706	4.05645912341142e-05	0	4.05645912341142e-05	0.000269777607119537	0	0.000269777607119537
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8310502283105	5N	110	22	154	22	308	0.149601309218923	0.149601309218923	4.05725484544253e-05	0	4.05725484544253e-05	0.000271130969319783	0	0.000271130969319783
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8374712530986	5N	110	22	154	22	308	0.149181994860332	0.149181994860332	4.05771521218588e-05	0	4.05771521218588e-05	0.000271923688049502	0	0.000271923688049502
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.84	5N	110	22	154	22	308	0.149016815736114	0.149016815736114	4.05789601685356e-05	0	4.05789601685356e-05	0.00027223714899364	0	0.00027223714899364
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8538812785388	5N	110	22	154	22	308	0.148109701179527	0.148109701179527	4.05888262549773e-05	0	4.05888262549773e-05	0.00027397061628022	0	0.00027397061628022
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.86	5N	110	22	154	22	308	0.147709678921354	0.147709678921354	4.05931394780936e-05	0	4.05931394780936e-05	0.000274741554867529	0	0.000274741554867529
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8602347135923	5N	110	22	154	22	308	0.147694332283235	0.147694332283235	4.0593304460875e-05	0	4.0593304460875e-05	0.000274771211339452	0	0.000274771211339452
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8685090313403	5N	110	22	154	22	308	0.147153245086391	0.147153245086391	4.05989282159237e-05	0	4.05989282159237e-05	0.000275819471172279	0	0.000275819471172279
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8767123287671	5N	110	22	154	22	308	0.146616681077992	0.146616681077992	4.06046528075729e-05	0	4.06046528075729e-05	0.000276867614215264	0	0.000276867614215264
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.88	5N	110	22	154	22	308	0.146401614002451	0.146401614002451	4.06069320118697e-05	0	4.06069320118697e-05	0.000277289785368951	0	0.000277289785368951
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.882998174086	5N	110	22	154	22	308	0.146205474592391	0.146205474592391	4.06090028884186e-05	0	4.06090028884186e-05	0.00027767583165372	0	0.00027767583165372
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.8995433789954	5N	110	22	154	22	308	0.145122994753163	0.145122994753163	4.06202975175966e-05	0	4.06202975175966e-05	0.000279824234904972	0	0.000279824234904972
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9	5N	110	22	154	22	308	0.145093119252457	0.145093119252457	4.06206059887747e-05	0	4.06206059887747e-05	0.000279883961016876	0	0.000279883961016876
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.9057616345797	5N	110	22	154	22	308	0.144716155280931	0.144716155280931	4.06244831466856e-05	0	4.06244831466856e-05	0.000280639588783992	0	0.000280639588783992
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.92	5N	110	22	154	22	308	0.143784679078909	0.143784679078909	4.06337647159887e-05	0	4.06337647159887e-05	0.000282521650136566	0	0.000282521650136566
