solution	objective	objective_delta	harvest	cohort	dose	n_observed_cells	observed_mean_N	predicted_mean_N	mean_N_residual_obs_minus_pred	total_variation_distance	wasserstein1_chromosomes	jensen_shannon_distance
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628	SUM159-4N-0-0_harvest	4N	0	1097	53.661804922516	48.881123822565	4.7806810999509	0.766671638597136	5.97591912828368	0.627059880663378
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502	SUM159-4N-0-0_harvest	4N	0	1097	53.661804922516	48.3825469403799	5.27925798213606	0.768599961573594	6.24004132672223	0.628531843558895
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5622013802389	SUM159-4N-0-0_harvest	4N	0	1097	53.661804922516	50.8891165826767	2.77268833983927	0.756034026031067	6.55197090068052	0.623922218976749
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.0377736253945997	SUM159-4N-0-0_harvest	4N	0	1097	53.661804922516	48.9308784690621	4.73092645345383	0.762531242228935	6.10470666005659	0.624838228521043
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	SUM159-4N-0-0_harvest	4N	0	1097	53.661804922516	48.8298175754664	4.8319873470496	0.766676669218375	6.0784871285345	0.627467256926502
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1.1259498752024	SUM159-4N-0-L_harvest	4N	0	636	49.8380503144654	51.514894517112	-1.67684420264661	0.661881646906185	4.6828235866055	0.568629610802851
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628	SUM159-4N-0-L_harvest	4N	0	636	49.8380503144654	50.8267103027868	-0.988659988321373	0.646610948638005	4.2634205087288	0.558206112640057
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502	SUM159-4N-0-L_harvest	4N	0	636	49.8380503144654	52.965547269094	-3.12749695462863	0.669162950240103	5.04968131533565	0.575642458515808
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5622013802389	SUM159-4N-0-L_harvest	4N	0	636	49.8380503144654	53.5901384550728	-3.75208814060743	0.741984264829737	6.97979750656537	0.619888233019067
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.0377736253945997	SUM159-4N-0-L_harvest	4N	0	636	49.8380503144654	51.3480400748626	-1.50998976039724	0.669403266444102	4.73419754580244	0.572658311628095
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	SUM159-4N-0-L_harvest	4N	0	636	49.8380503144654	51.3640314803323	-1.52598116586687	0.659977066740067	4.58334917250973	0.566918589256081
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1.1259498752024	SUM159-4N-0-R_harvest	4N	0	512	49.068359375	51.514894517112	-2.44653514211201	0.628482993732457	4.62863605812819	0.550509282252607
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628	SUM159-4N-0-R_harvest	4N	0	512	49.068359375	50.8267103027868	-1.75835092778678	0.613399198273669	4.11361675337676	0.534329308620507
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502	SUM159-4N-0-R_harvest	4N	0	512	49.068359375	52.965547269094	-3.89718789409403	0.645968334980538	5.25914887822367	0.562717797518636
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5622013802389	SUM159-4N-0-R_harvest	4N	0	512	49.068359375	53.5901384550728	-4.52177908007284	0.699928159646994	7.02636499115679	0.607458769175916
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.0377736253945997	SUM159-4N-0-R_harvest	4N	0	512	49.068359375	51.3480400748626	-2.27968069986265	0.631482734480245	4.6467308502681	0.553344353300537
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	SUM159-4N-0-R_harvest	4N	0	512	49.068359375	51.3640314803323	-2.29567210533227	0.624759220454662	4.4957492905345	0.546290704747946
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1.1259498752024	SUM159-4N-0-RR_harvest	4N	0	529	47.5368620037807	47.0806704738028	0.456191529977886	0.657501182611383	3.79668247939566	0.545555265726805
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628	SUM159-4N-0-RR_harvest	4N	0	529	47.5368620037807	48.881123822565	-1.34426181878433	0.639568626364261	3.68018789947539	0.532767920907387
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502	SUM159-4N-0-RR_harvest	4N	0	529	47.5368620037807	48.3825469403799	-0.845684936599177	0.647940150718866	3.73214071000353	0.538961686544348
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5622013802389	SUM159-4N-0-RR_harvest	4N	0	529	47.5368620037807	50.8891165826767	-3.35225457889597	0.728944149301625	6.01575742970785	0.602055063756437
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.0377736253945997	SUM159-4N-0-RR_harvest	4N	0	529	47.5368620037807	48.9308784690621	-1.39401646528141	0.661252478976849	4.0146364123475	0.548835981573426
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	SUM159-4N-0-RR_harvest	4N	0	529	47.5368620037807	48.8298175754664	-1.29295557168563	0.649994811787423	3.82315128791374	0.540387163910139
