r_package	consumer_path	dependency	resolved_path	status	rpm_owner
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libicuuc.so.75	/app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75	resolved	file /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libicui18n.so.75	/app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75	resolved	file /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libgomp.so.1	/app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libquadmath.so.0	/app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libgcc_s.so.1	/app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libncurses.so.6	/app/eb/software/ncurses/6.5-GCCcore-13.3.0/lib/libncurses.so.6	resolved	file /app/eb/software/ncurses/6.5-GCCcore-13.3.0/lib/libncurses.so.6 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libicudata.so.75	/app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicudata.so.75	resolved	file /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicudata.so.75 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libstdc++.so.6	/app/eb/software/GCCcore/13.3.0/lib64/libstdc++.so.6	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libstdc++.so.6 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	linux-vdso.so.1		resolved	NA
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libR.so	/app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so	resolved	file /app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libc.so.6	/lib64/libc.so.6	resolved	glibc-2.28-251.el8_10.25.x86_64
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libflexiblas.so.3	/app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3	resolved	file /app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libgfortran.so.5	/app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libm.so.6	/lib64/libm.so.6	resolved	glibc-2.28-251.el8_10.25.x86_64
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libreadline.so.8	/app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8	resolved	file /app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libpcre2-8.so.0	/app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0	resolved	file /app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libdeflate.so.0	/app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0	resolved	file /app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	liblzma.so.5	/app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5	resolved	file /app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5 is not owned by any package
yaml	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/yaml/libs/yaml.so	libbz2.so.1.0	/app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0	resolved	file /app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0 is not owned by any package
