kind	path	ldd_output
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libpcre2-8.so.0 => /app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0 (0x000015555537a000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libdeflate.so.0 => /app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0 (0x0000155555364000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 liblzma.so.5 => /app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5 (0x0000155554000000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libbz2.so.1.0 => /app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0 (0x0000155553fea000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libz.so.1 => /app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1 (0x0000155553fcf000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 librt.so.1 => /lib64/librt.so.1 (0x0000155553dc7000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libdl.so.2 => /lib64/libdl.so.2 (0x0000155553bc3000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libpthread.so.0 => /lib64/libpthread.so.0 (0x00001555539a3000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libiconv.so.2 => /app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2 (0x00001555538bd000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libicuuc.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75 (0x00001555536a0000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libicui18n.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75 (0x000015555330c000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libgomp.so.1 => /app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1 (0x00001555532b9000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 /lib64/ld-linux-x86-64.so.2 (0x0000155555324000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libquadmath.so.0 => /app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0 (0x0000155553272000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libgcc_s.so.1 => /app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1 (0x000015555324c000)
