db_source_id	source_id	context_key	ploidy	condition_replicate	event	biological_passage	ltee_comment_membership	classification_status	n_bundles_success	n_bundles_failed	n_bundles_unavailable	failure_reasons	cell_state	count	eligible_denominator	frequency	feature_modes	prediction_shard
SUM-159_NLS_2N_O2_A20_seedT1	SUM-159_NLS_2N_O2_A20_seedT1	SUM-159-NLS-2N	2N	O2	harvest	25	TRUE	classified_full_promoted	4	0	0		dead_cell	320	1452	0.220385675	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A20_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A20_seedT2	SUM-159_NLS_2N_O2_A20_seedT2	SUM-159-NLS-2N	2N	O2	harvest	25	TRUE	classified_full_promoted	4	0	0		dead_cell	496	5881	0.084339398	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A20_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A21_seedT1	SUM-159_NLS_2N_O2_A21_seedT1	SUM-159-NLS-2N	2N	O2	harvest	26	TRUE	classified_full_promoted	4	0	0		dead_cell	250	1742	0.143513203	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A21_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A21_seedT2	SUM-159_NLS_2N_O2_A21_seedT2	SUM-159-NLS-2N	2N	O2	harvest	26	TRUE	classified_full_promoted	4	0	0		dead_cell	792	6556	0.120805369	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A21_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A22_seedT1	SUM-159_NLS_2N_O2_A22_seedT1	SUM-159-NLS-2N	2N	O2	harvest	27	TRUE	classified_full_promoted	4	0	0		dead_cell	453	4647	0.097482247	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A22_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A23_seedT1	SUM-159_NLS_2N_O2_A23_seedT1	SUM-159-NLS-2N	2N	O2	harvest	28	TRUE	classified_full_promoted	4	0	0		dead_cell	665	3940	0.168781726	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A23_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A23_seedT2	SUM-159_NLS_2N_O2_A23_seedT2	SUM-159-NLS-2N	2N	O2	harvest	28	TRUE	classified_full_promoted	4	0	0		dead_cell	146	5230	0.02791587	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A23_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A24_seedT1	SUM-159_NLS_2N_O2_A24_seedT1	SUM-159-NLS-2N	2N	O2	harvest	29	TRUE	classified_full_promoted	4	0	0		dead_cell	542	3597	0.150681123	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A24_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A24_seedT2	SUM-159_NLS_2N_O2_A24_seedT2	SUM-159-NLS-2N	2N	O2	harvest	29	TRUE	classified_full_promoted	4	0	0		dead_cell	89	4601	0.019343621	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A24_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A3_seedT1	SUM-159_NLS_2N_O2_A3_seedT1	SUM-159-NLS-2N	2N	O2	harvest	8	TRUE	classified_full_promoted	4	0	0		dead_cell	208	2869	0.072499129	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A3_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A3_seedT2	SUM-159_NLS_2N_O2_A3_seedT2	SUM-159-NLS-2N	2N	O2	harvest	8	TRUE	classified_full_promoted	4	0	0		dead_cell	418	10676	0.039153241	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A3_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A4_seedT1	SUM-159_NLS_2N_O2_A4_seedT1	SUM-159-NLS-2N	2N	O2	harvest	9	TRUE	classified_full_promoted	4	0	0		dead_cell	109	3375	0.032296296	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A4_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A4_seedT2	SUM-159_NLS_2N_O2_A4_seedT2	SUM-159-NLS-2N	2N	O2	harvest	9	TRUE	classified_full_promoted	4	0	0		dead_cell	206	10091	0.020414231	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A4_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A5_seedT1	SUM-159_NLS_2N_O2_A5_seedT1	SUM-159-NLS-2N	2N	O2	harvest	10	TRUE	classified_full_promoted	4	0	0		dead_cell	599	7124	0.084081976	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A5_seedT1.tsv.gz
