parameter,center_name,delta_name,invitro_name,transform,projection_applied,projection_action,feasible_before_projection,feasible_after_projection,center_raw_transformed,delta_raw_transformed,vivo_raw_transformed,vitro_raw_transformed,center_transformed,delta_transformed,vivo_transformed,vitro_transformed,center_raw_natural,vivo_raw_natural,vitro_raw_natural,center_projected_natural,vivo_projected_natural,vitro_projected_natural,joint_union_lower_transformed,joint_union_upper_transformed,joint_union_lower_bound,joint_union_upper_bound,delta_dynamic_lower_transformed,delta_dynamic_upper_transformed,pair,seed,objective,rank,ratio_vivo_to_vitro
buffer_smax,buffer_smax,delta__buffer_smax,buffer_smax,identity,False,none,True,True,0.997390253792811,-0.005219492414379,0.994780507585621,1.0,0.997390253792811,-0.005219492414379,0.994780507585621,1.0,0.997390253792811,0.994780507585621,1.0,0.997390253792811,0.994780507585621,1.0,0.0,1.0,0.0,1.0,-0.0052194924143789,0.0052194924143789,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,0.994780507585621
buffer_beta,log10_buffer_beta,delta__log10_buffer_beta,log10_buffer_beta,log10,False,none,True,True,-0.575886287278859,-1.55518405233534,-1.35347831344653,0.201705738888809,-0.575886287278859,-1.55518405233534,-1.35347831344653,0.201705738888809,0.265530071689194,0.0443120341210791,1.59113027351929,0.265530071689194,0.0443120341210791,1.59113027351929,-2.0,1.0,0.01,10.0,-2.84822742544228,2.84822742544228,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,0.02784940671329756
buffer_n_exp,log10_buffer_n_exp,delta__log10_buffer_n_exp,log10_buffer_n_exp,log10,False,none,True,True,-0.0657285004210214,-1.13016190617906,-0.630809453510549,0.499352452668507,-0.0657285004210214,-1.13016190617906,-0.630809453510549,0.499352452668507,0.859550702459219,0.233986362749007,3.15756611375965,0.859550702459219,0.233986362749007,3.15756611375965,-1.0,1.0,0.1,10.0,-1.86854299915796,1.86854299915796,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,0.07410339303090765
n_O,n_O,delta__n_O,n_O,identity,False,none,True,True,2.55517829746501,1.37320692760003,3.24178176126502,1.86857483366499,2.55517829746501,1.37320692760003,3.24178176126502,1.86857483366499,2.55517829746501,3.24178176126502,1.86857483366499,2.55517829746501,3.24178176126502,1.86857483366499,0.0001,5.0,0.0001,5.0,-4.88964340506999,4.88964340506999,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,1.73489533459393
alpha_o2,log10_alpha_o2,delta__log10_alpha_o2,log10_alpha_o2,log10,False,none,True,True,0.101371914305943,0.804803819939848,0.503773824275867,-0.301029995663981,0.101371914305943,0.804803819939848,0.503773824275867,-0.301029995663981,1.26290858150935,3.18987617049993,0.5,1.26290858150935,3.18987617049993,0.5,-0.301029995663981,0.602059991327962,0.5,4.0,-0.804803819939848,0.804803819939848,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,6.37975234099986
gamma_growth,gamma_growth,delta__gamma_growth,gamma_growth,identity,False,none,True,True,1.87124074243996,0.74248148487991,2.24248148487991,1.5,1.87124074243996,0.74248148487991,2.24248148487991,1.5,1.87124074243996,2.24248148487991,1.5,1.87124074243996,2.24248148487991,1.5,1.5,4.5,1.5,4.5,-0.74248148487991,0.74248148487991,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,1.4949876565866067
lam_max,log10_lam_max,delta__log10_lam_max,log10_lam_max,log10,False,none,True,True,-0.37154577691773,-1.0028032418014,-0.872947397818432,0.129855843982972,-0.37154577691773,-1.0028032418014,-0.872947397818432,0.129855843982972,0.425063900477244,0.133983896023196,1.3485151936293,0.425063900477244,0.133983896023196,1.3485151936293,-2.30102999566398,0.176091259055681,0.005,1.5,-1.09527407194682,1.09527407194682,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,0.09935660840616935
p_mis_base,log10_p_mis_base,delta__log10_p_mis_base,log10_p_mis_base,log10,False,none,True,True,-4.64212308426928,0.847144214990873,-4.21855097677384,-5.06569519176472,-4.64212308426928,0.847144214990873,-4.21855097677384,-5.06569519176472,2.27969588725742e-05,6.04573383347829e-05,8.59616629101321e-06,2.27969588725742e-05,6.04573383347829e-05,8.59616629101321e-06,-6.0,-1.0,1e-06,0.1,-2.71575383146144,2.71575383146144,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,7.033058259702062
p_wgd,log10_p_wgd,delta__log10_p_wgd,log10_p_wgd,log10,False,none,True,True,-3.30859788526459,0.143449053832624,-3.23687335834828,-3.3803224121809,-3.30859788526459,0.143449053832624,-3.23687335834828,-3.3803224121809,0.0004913626199138,0.0005795976843145,0.000416560022206,0.0004913626199138,0.0005795976843145,0.000416560022206,-5.0,-3.0,1e-05,0.001,-0.617195770529179,0.617195770529179,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,1.3913905641859061
gamma_mu,gamma_mu,delta__gamma_mu,gamma_mu,identity,False,none,True,True,2.09141950700084,1.3328591986498,2.75784910632574,1.42498990767594,2.09141950700084,1.3328591986498,2.75784910632574,1.42498990767594,2.09141950700084,2.75784910632574,1.42498990767594,2.09141950700084,2.75784910632574,1.42498990767594,1.2,3.5,1.2,3.5,-1.78283901400169,1.78283901400169,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,1.935346412960637
