component,value,pair,seed,objective
invitro_2N_deprived_wgd_max_fraction,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_2N_deprived_wgd_min_N,80,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_2N_deprived_wgd_min_fraction,0.01,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_2N_deprived_max_mean_N,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_4N_deprived_chr_drop_pass,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_4N_deprived_chr_drop,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_4N_deprived_min_chr_drop_required,2,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_4N_deprived_initial_mean_N,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_4N_deprived_min_mean_N,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_constraint_failures,0,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_constraint_penalty_total,0,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_constraints_pass,TRUE,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__O2_crit,0.0799999339709328,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__mu_hp,0.0799999689871523,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__p_misseg,0.0799999999919043,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_penalty__k_o_mis,0.0799999999999632,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
