lineage	N	empirical_fraction	fitted_fraction	empirical_cdf	fitted_cdf
O2	131	0	1.51370284017151e-05	1	0.999794023660191
O2	132	0	1.4421829889718e-05	1	0.999808445490081
O2	133	0	1.11127804571664e-05	1	0.999819558270538
O2	134	0	1.14569134456432e-05	1	0.999831015183984
O2	135	0	8.82627396856638e-06	1	0.999839841457952
O2	136	0	9.93090287329488e-06	1	0.999849772360826
O2	137	0	7.63531630272599e-06	1	0.999857407677128
O2	138	0	9.31963006036328e-06	1	0.999866727307189
O2	139	0	7.12423746243196e-06	1	0.999873851544651
O2	140	0	9.286192840197e-06	1	0.999883137737491
O2	141	0	7.0182690781567e-06	1	0.99989015600657
O2	142	0	9.58922597589654e-06	1	0.999899745232545
O2	143	0	7.12522151861897e-06	1	0.999906870454064
O2	144	0	1.00604786120236e-05	1	0.999916930932676
O2	145	0	7.2931512943653e-06	1	0.99992422408397
O2	146	0	1.05353004093199e-05	1	0.99993475938438
O2	147	0	7.37423059091011e-06	1	0.999942133614971
O2	148	0	1.08532141961751e-05	1	0.999952986829167
O2	149	0	7.18439372805669e-06	1	0.999960171222895
O2	150	0	1.07684043011521e-05	1	0.999970939627196
O2	151	0	6.44019911499207e-06	1	0.999977379826311
O2	152	0	9.91195511418326e-06	1	0.999987291781425
O2	153	0	4.70485546345089e-06	1	0.999991996636889
O2	154	0	8.00336311158875e-06	1	1
