glibc	0	2.28	251.el8_10.25	i686
glibc	0	2.28	251.el8_10.25	x86_64
glibc-common	0	2.28	251.el8_10.25	x86_64
glibc-devel	0	2.28	251.el8_10.25	i686
glibc-devel	0	2.28	251.el8_10.25	x86_64
glibc-gconv-extra	0	2.28	251.el8_10.25	i686
glibc-gconv-extra	0	2.28	251.el8_10.25	x86_64
glibc-headers	0	2.28	251.el8_10.25	i686
glibc-headers	0	2.28	251.el8_10.25	x86_64
glibc-langpack-en	0	2.28	251.el8_10.25	x86_64
glibc-static	0	2.28	251.el8_10.25	x86_64
gmp	1	6.1.2	11.el8	x86_64
gnupg2	0	2.2.20	3.el8_6	x86_64
gnupg2-smime	0	2.2.20	3.el8_6	x86_64
gnutls	0	3.6.16	8.el8_10.3	x86_64
go-srpm-macros	0	2	17.el8	noarch
gobject-introspection	0	1.56.1	1.el8	x86_64
golang-go-latest	0	1.25.3	100067_cm9.2_32250c056b	x86_64
google-droid-sans-fonts	0	20120715	13.el8	noarch
gpg-pubkey	0	2f86d6a1	5cf7cefb	(none)
gpg-pubkey	0	6d745a60	60287f36	(none)
gpg-pubkey	0	c2d489fd	63383cd5	(none)
gpg-pubkey	0	d4082792	5b32db75	(none)
gpg-pubkey	0	fa4de6d0	4aad61e8	(none)
gpg-pubkey	0	fd431d51	4ae0493b	(none)
gpgme	0	1.13.1	12.el8	x86_64
gpm-libs	0	1.20.7	17.el8	x86_64
graphite2	0	1.3.10	10.el8	x86_64
graphviz	0	2.40.1	45.el8	x86_64
grep	0	3.1	6.el8	x86_64
groff-base	0	1.22.3	18.el8	x86_64
grub2-common	1	2.02	167.el8_10	noarch
grub2-efi-x64	1	2.02	167.el8_10	x86_64
grub2-efi-x64-modules	1	2.02	167.el8_10	noarch
grub2-pc	1	2.02	167.el8_10	x86_64
grub2-pc-modules	1	2.02	167.el8_10	noarch
grub2-tools	1	2.02	167.el8_10	x86_64
grub2-tools-efi	1	2.02	167.el8_10	x86_64
grub2-tools-extra	1	2.02	167.el8_10	x86_64
grub2-tools-minimal	1	2.02	167.el8_10	x86_64
grubby	0	8.40	49.el8	x86_64
gsettings-desktop-schemas	0	3.32.0	6.el8	x86_64
gsm	0	1.0.17	5.el8	x86_64
gssproxy	0	0.8.0	21.el8	x86_64
gtk-update-icon-cache	0	3.22.30	12.el8_10	x86_64
gtk2	0	2.24.32	5.el8	x86_64
gtk3	0	3.22.30	12.el8_10	x86_64
guile	5	2.0.14	7.el8	x86_64
gzip	0	1.9	13.el8_5	x86_64
hardlink	1	1.3	6.el8	x86_64
harfbuzz	0	1.7.5	4.el8	x86_64
hawtjni-runtime	0	1.16	2.module+el8+2452+b359bfcd	noarch
hdparm	0	9.54	4.el8	x86_64
hicolor-icon-theme	0	0.17	2.el8	noarch
hostname	0	3.20	6.el8	x86_64
http-parser	0	2.8.0	9.el8	x86_64
httpd	0	2.4.37	65.module+el8.10.0+23042+b3baf0f4.4	x86_64
httpd-filesystem	0	2.4.37	65.module+el8.10.0+23042+b3baf0f4.4	noarch
httpd-tools	0	2.4.37	65.module+el8.10.0+23042+b3baf0f4.4	x86_64
hwdata	0	0.314	8.22.el8	noarch
ibacm	0	48.0	1.el8	x86_64
ima-evm-utils	0	1.3.2	12.el8	x86_64
imlib2	0	1.4.9	8.el8	x86_64
infiniband-diags	0	48.0	1.el8	x86_64
info	0	6.5	7.el8	x86_64
initscripts	0	10.00.18	1.el8	x86_64
inotify-tools	0	3.14	19.el8	x86_64
intel-cluster-runtime-2018	0	2018.4	156_cm9.1	x86_64
intltool	0	0.51.0	11.el8	noarch
