parameter	O2_pct	n_complete	spearman_rho	parameter_group	parameter_order	parameter_plot_label	parameter_display_label	display_order	importance_rank	peak_direction	peak_direction_order	within_direction_rank	max_abs_rho	rho_at_max_abs	O2_at_max_abs
p_mis_base	1.575	500	0.422550298201193	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.6	500	0.430417433669735	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.625	500	0.430910107640431	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.65	500	0.432193344773379	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.675	500	0.4437401749607	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.7	500	0.452044496177985	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.725	500	0.45890170760683	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.75	500	0.471224508898036	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.775	500	0.477104916419666	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.8	500	0.48010291241165	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.825	500	0.489505286021144	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.85	500	0.49272619490478	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.875	500	0.492318961275845	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.9	500	0.503972063888256	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.925	500	0.505958887835551	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.95	500	0.511373213492854	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	1.975	500	0.512409345637383	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2	500	0.513692294769179	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.025	500	0.516610034440138	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.05	500	0.525676118704475	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.075	500	0.527536414145657	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.1	500	0.532606674426698	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.125	500	0.537807111228445	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.15	500	0.538204360817443	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.175	500	0.538823467293869	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.2	500	0.54062184248737	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.225	500	0.542754683018732	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.25	500	0.544364321457286	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.275	500	0.546406921627687	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.3	500	0.55086306745227	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.325	500	0.552224448897796	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.35	500	0.553677990711963	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.375	500	0.555376525506102	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.4	500	0.563472141888568	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.425	500	0.565811191244765	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.45	500	0.567530750123001	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.475	500	0.564522002088008	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.5	500	0.566463321853287	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.525	500	0.580975507902032	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.55	500	0.582710234840939	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.575	500	0.583928191712767	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.6	500	0.585129156516626	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.625	500	0.586642506570026	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.65	500	0.588328273313093	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.675	500	0.585414757659031	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.7	500	0.587174636698547	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.725	500	0.588400369601478	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.75	500	0.589453493813975	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.775	500	0.591203196812787	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.8	500	0.593125316501266	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.825	500	0.594632714530858	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.85	500	0.600088416353665	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.875	500	0.601468037872152	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.9	500	0.602253897015588	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.925	500	0.603550190200761	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.95	500	0.608917283669135	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	2.975	500	0.610059016236065	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	3	500	0.61175553502214	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	3.025	500	0.61423714494858	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	3.05	500	0.617419557678231	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
p_mis_base	3.075	500	0.618340585362342	Division and genome change	2	p_mis_base | Baseline missegregation probability	Baseline per-chromosome missegregation probability (p_mis_base)	1	2	Positive peak rho	1	1	0.65613411253645	0.65613411253645	4.175
