N	output	parameter	O2_pct	replicates	S1_mean	S1_range	ST_mean	ST_range	S1_delta_vs_max_N	ST_delta_vs_max_N
129	dominant_growth_rate	O2_crit	3.025	2	0.1988279685	0.0074751072	0.6658493886	0.0647400059	0.1473777574	0.4959202446
129	dominant_growth_rate	O2_crit	3.050	2	0.1968838869	0.007048516	0.6617484172	0.0654631907	0.1459381168	0.4928629427
129	dominant_growth_rate	O2_crit	3.075	2	0.1949547894	0.0066040437	0.6577251746	0.066199833	0.1445132785	0.4899284612
129	dominant_growth_rate	O2_crit	3.100	2	0.1930432663	0.0061468953	0.6537850211	0.0669324318	0.1431000159	0.4870652438
129	dominant_growth_rate	O2_crit	3.125	2	0.1911476625	0.0056739747	0.6499128973	0.0676837384	0.1416972903	0.484261004
129	dominant_growth_rate	O2_crit	3.150	2	0.1892717138	0.0051931269	0.6461202068	0.0684231561	0.1403077727	0.4815221633
129	dominant_growth_rate	O2_crit	3.175	2	0.1874170786	0.0047081733	0.6424085592	0.0691394474	0.1389337191	0.478852619
129	dominant_growth_rate	O2_crit	3.200	2	0.1855816333	0.0042154698	0.6387620405	0.0698563939	0.1375728442	0.476237889
129	dominant_growth_rate	O2_crit	3.225	2	0.1837688441	0.0037226231	0.6351917381	0.0705439213	0.1362289497	0.4736847763
129	dominant_growth_rate	O2_crit	3.250	2	0.1819779714	0.0032365287	0.6317003211	0.0711975243	0.13490053	0.4711987613
129	dominant_growth_rate	O2_crit	3.275	2	0.1802058634	0.002755449	0.6282741467	0.0718412531	0.1335854564	0.4687663248
129	dominant_growth_rate	O2_crit	3.300	2	0.1784573265	0.0022804845	0.6249183798	0.0724474845	0.1322873578	0.466390282
129	dominant_growth_rate	O2_crit	3.325	2	0.1767343967	0.0018123304	0.6216331936	0.0730046958	0.1310092917	0.4640738148
129	dominant_growth_rate	O2_crit	3.350	2	0.1749193789	0.001578728	0.6175536571	0.0718250741	0.1296333894	0.4609537787
129	dominant_growth_rate	O2_crit	3.375	2	0.1731155917	0.0013749503	0.6134540883	0.0704489422	0.1282624764	0.4578024801
129	dominant_growth_rate	O2_crit	3.400	2	0.1713286685	0.0011885562	0.6093950006	0.068988116	0.1269032649	0.4546843481
129	dominant_growth_rate	O2_crit	3.425	2	0.1695542379	0.0010077334	0.6053653878	0.0674720051	0.1255507827	0.4515840844
129	dominant_growth_rate	O2_crit	3.450	2	0.1677882776	0.0008268633	0.6013570468	0.065923287	0.1242006374	0.448494275
129	dominant_growth_rate	O2_crit	3.475	2	0.165898463	0.000377971	0.5967681997	0.0655460888	0.1227218761	0.4448162268
129	dominant_growth_rate	O2_crit	3.500	2	0.1640177847	7.10292e-05	0.59219804	0.0651480557	0.1212459792	0.44114591
129	dominant_growth_rate	O2_crit	3.525	2	0.1621497696	0.0005161097	0.5876543055	0.0647148883	0.1197774131	0.4374904472
129	dominant_growth_rate	O2_crit	3.550	2	0.1602950473	0.0009544979	0.5831402632	0.0642457127	0.1183168338	0.4338566745
129	dominant_growth_rate	O2_crit	3.575	2	0.1584129463	0.001470271	0.5784168612	0.0642201813	0.1168234874	0.4300023121
129	dominant_growth_rate	O2_crit	3.600	2	0.1564604354	0.0021483284	0.5732405108	0.0651306649	0.1152537825	0.4256848185
129	dominant_growth_rate	O2_crit	3.625	2	0.1545179988	0.0028301474	0.5680682006	0.0660649189	0.1136895166	0.4213620488
129	dominant_growth_rate	O2_crit	3.650	2	0.1525859303	0.0035142657	0.5629025159	0.067022425	0.1121297773	0.4170345392
129	dominant_growth_rate	O2_crit	3.675	2	0.1506652546	0.0042007893	0.5577453136	0.0680012273	0.1105765401	0.4127068995
129	dominant_growth_rate	O2_crit	3.700	2	0.1487562759	0.0048884648	0.5525990249	0.0690005125	0.1090298637	0.4083797631
129	dominant_growth_rate	O2_crit	3.725	2	0.146859908	0.0055773262	0.5474654816	0.0700182592	0.1074901899	0.4040547343
129	dominant_growth_rate	O2_crit	3.750	2	0.1449764659	0.0062662719	0.5423469547	0.0710533144	0.1059592869	0.3997368609
129	dominant_growth_rate	O2_crit	3.775	2	0.1431067584	0.0069552445	0.5372452174	0.0721035301	0.1044366112	0.3954264684
129	dominant_growth_rate	O2_crit	3.800	2	0.1412511034	0.0076432585	0.532162358	0.0731673974	0.102923273	0.3911238231
129	dominant_growth_rate	O2_crit	3.825	2	0.1394102051	0.0083301546	0.5271000499	0.0742425999	0.1014198486	0.3868350203
129	dominant_growth_rate	O2_crit	3.850	2	0.1375844013	0.009014979	0.5220603072	0.0753269889	0.09992678361	0.3825975166
129	dominant_growth_rate	O2_crit	3.875	2	0.1357742752	0.0096974924	0.5170445882	0.0764181851	0.09844438344	0.3783805031
129	dominant_growth_rate	O2_crit	3.900	2	0.1339801027	0.0103768886	0.5120544628	0.0775140636	0.09697406866	0.3741794384
129	dominant_growth_rate	O2_crit	3.925	2	0.1322023709	0.011052785	0.5070912697	0.0786118627	0.095515333	0.3699938767
129	dominant_growth_rate	O2_crit	3.950	2	0.1304413371	0.0117243932	0.5021563625	0.0797089402	0.09407770301	0.365902227
129	dominant_growth_rate	O2_crit	3.975	2	0.1286973741	0.0123912106	0.4972508457	0.0808022592	0.09265329668	0.3618310735
129	dominant_growth_rate	O2_crit	4.000	2	0.1269706978	0.0130524758	0.4923757623	0.0818887754	0.09124149829	0.3577798081
129	dominant_growth_rate	O2_crit	4.025	2	0.1252615646	0.0137075649	0.487531948	0.0829651588	0.08984369361	0.3537509905
129	dominant_growth_rate	O2_crit	4.050	2	0.123570143	0.0143557347	0.4827201202	0.0840279818	0.08845915876	0.3497445375
129	dominant_growth_rate	O2_crit	4.075	2	0.1218965765	0.01499625	0.4779408394	0.0850736543	0.08708852943	0.3457597408
129	dominant_growth_rate	O2_crit	4.100	2	0.1202409885	0.0156283933	0.47319452	0.0860984543	0.08573214951	0.3418005119
129	dominant_growth_rate	O2_crit	4.125	2	0.1185951354	0.0162679164	0.4684253865	0.0872108533	0.0843887434	0.3378572848
129	dominant_growth_rate	O2_crit	4.150	2	0.1169679997	0.0168963697	0.4636914965	0.0882912474	0.08306281244	0.3339601368
129	dominant_growth_rate	O2_crit	4.175	2	0.1153595386	0.0175128917	0.4589931128	0.0893357465	0.08175200554	0.3300889289
129	dominant_growth_rate	O2_crit	4.200	2	0.1137697959	0.01811695	0.454330188	0.0903406855	0.08045611078	0.3262436771
129	dominant_growth_rate	O2_crit	4.225	2	0.1121986367	0.0187077109	0.4497027091	0.0913026605	0.07917509759	0.3224248591
129	dominant_growth_rate	O2_crit	4.250	2	0.1106460904	0.0192847277	0.4451104947	0.0922181259	0.07790917022	0.3186315313
129	dominant_growth_rate	O2_crit	4.275	2	0.1091119564	0.01984714855	0.4405534149	0.0930838401	0.07665793734	0.3148646719
129	dominant_growth_rate	O2_crit	4.300	2	0.1075962458	0.02039460211	0.4360311343	0.0938963524	0.07542160104	0.311123375
129	dominant_growth_rate	O2_crit	4.325	2	0.1060970074	0.0209228474	0.4315327925	0.0946313675	0.07419830974	0.3073968357
129	dominant_growth_rate	O2_crit	4.350	2	0.1044482173	0.02109955319	0.4260211944	0.0932121259	0.07282199971	0.3026484598
129	dominant_growth_rate	O2_crit	4.375	2	0.1028139925	0.0212527237	0.4205389732	0.0917217302	0.07145693963	0.2979202417
129	dominant_growth_rate	O2_crit	4.400	2	0.1011947746	0.0213830659	0.4150883108	0.0901625868	0.07010349569	0.2932151542
129	dominant_growth_rate	O2_crit	4.425	2	0.09959065468	0.02149063684	0.4096715117	0.0885375501	0.0687618315	0.2885351682
129	dominant_growth_rate	O2_crit	4.450	2	0.09800208105	0.02157625969	0.4042906466	0.0868492093	0.06743262836	0.2838819808
129	dominant_growth_rate	O2_crit	4.475	2	0.09642910977	0.02164002225	0.3989478994	0.0851005788	0.06611513832	0.2792525162
129	dominant_growth_rate	O2_crit	4.500	2	0.09487219065	0.02168284809	0.3936452	0.0832943603	0.06481073531	0.2746548894
129	dominant_growth_rate	O2_crit	4.525	2	0.09333134173	0.02170484394	0.3883845841	0.0814336596	0.06351787234	0.2700878477
129	dominant_growth_rate	O2_crit	4.550	2	0.09180701003	0.02170701973	0.38316782	0.0795212333	0.06223491773	0.2655470079
129	dominant_growth_rate	O2_crit	4.575	2	0.0902991737	0.02168949119	0.3779967753	0.07756022	0.06096526054	0.2610450889
129	dominant_growth_rate	O2_crit	4.600	2	0.08880828781	0.0216533131	0.3728720927	0.0755552832	0.05971010369	0.2565815226
129	dominant_growth_rate	O2_crit	4.625	2	0.08733430535	0.02159856776	0.3677952811	0.0735098959	0.05846879996	0.2521593594
129	dominant_growth_rate	O2_crit	4.650	2	0.08587764528	0.02152642676	0.362768933	0.0714244181	0.0572421108	0.2477804701
129	dominant_growth_rate	O2_crit	4.675	2	0.08443820049	0.02143699694	0.3577945386	0.0693019155	0.05602994647	0.2434464849
129	dominant_growth_rate	O2_crit	4.700	2	0.08301639181	0.02133147568	0.3528733133	0.0671450542	0.0548423936	0.2392187807
129	dominant_growth_rate	O2_crit	4.725	2	0.08161206881	0.02120995065	0.3480065506	0.0649568023	0.05367414811	0.2350623892
129	dominant_growth_rate	O2_crit	4.750	2	0.08022564045	0.02107365938	0.3431952752	0.0627397272	0.05252082106	0.2309540057
129	dominant_growth_rate	O2_crit	4.775	2	0.07885691264	0.02092266245	0.3384405831	0.0604966701	0.05138298431	0.226893973
129	dominant_growth_rate	O2_crit	4.800	2	0.07750628163	0.02075822837	0.3337433111	0.0582300766	0.05026034635	0.2228837263
129	dominant_growth_rate	O2_crit	4.825	2	0.0761735096	0.02058038314	0.3291043596	0.0559426376	0.04915333984	0.2189237676
129	dominant_growth_rate	O2_crit	4.850	2	0.07485897963	0.02039041817	0.3245243836	0.0536366611	0.04806181735	0.2150151861
129	dominant_growth_rate	O2_crit	4.875	2	0.07356241081	0.02018831886	0.3200040929	0.0513146695	0.04698587454	0.2111582185
129	dominant_growth_rate	O2_crit	4.900	2	0.072284173	0.01997539236	0.3155439689	0.0489788222	0.04592577991	0.2073536868
129	dominant_growth_rate	O2_crit	4.925	2	0.07102394295	0.01975157799	0.3111445392	0.0466314615	0.04488116508	0.2036026419
129	dominant_growth_rate	O2_crit	4.950	2	0.06978207784	0.01951819284	0.3068061217	0.0442745925	0.04385267957	0.1999044339
129	dominant_growth_rate	O2_crit	4.975	2	0.06855821314	0.01927512571	0.3025290716	0.0419103704	0.04283971978	0.1962603462
129	dominant_growth_rate	O2_crit	5.000	2	0.06735269428	0.01902369886	0.2983135562	0.0395406446	0.04184280475	0.1926702789
129	dominant_growth_rate	alpha_o2	0.000	2	0.002389517439	0.000115887518	0.01707014294	0.00040466849	0.002207173274	0.01173591596
129	dominant_growth_rate	alpha_o2	0.025	2	0.002329699316	0.00010086309	0.0167342179	0.00040863297	0.002150834139	0.01142453588
129	dominant_growth_rate	alpha_o2	0.050	2	0.002322320552	9.6631331e-05	0.01663843526	0.00040874235	0.002143710204	0.01136325973
