segment_id	parent_segment_id	cohort	passage_index	oxygen_pct	duration_days	initial_cells	final_cells	selected_day	target_live_cells	passage_id	predicted_live_cells	predicted_growth_rate	predicted_mean_kary_N	observed_growth	observed_mean_kary_N	observed_n_kary	observed_n_flow	lineage_terminal_key	lineage_label	lineage_passage_index
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	2N	21	0	7	409384.5	6777405	1	6777405	SUM-159_NLS_2N_O1_A9_seed	317225.930733337	-0.255040576963628	49.5914346441181	0.435214147229313	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	11
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	2N	21	0	7	409384.5	6777405	1	6777405	SUM-159_NLS_2N_O2_A9_seed	317225.930733337	-0.255040576963628	49.5914346441181	0.399949129792322	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	11
20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	2N	22	20.5	3	797221	10161940	3	10161940	SUM-159_NLS_2N_C_A10_seed	3599769.96461933	0.502497764498786	46.5172046364735	0.848424239199109	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	12
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	2N	23	0	5	710157	7593946.5	1	7593946.5	SUM-159_NLS_2N_O1_A10_seed	552081.363491889	-0.251790639305639	50.2762104925278	0.50185981787835	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	12
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	2N	23	0	5	710157	7593946.5	1	7593946.5	SUM-159_NLS_2N_O2_A10_seed	552081.363491889	-0.251790639305639	50.2762104925278	0.459209606978143	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	12
20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	2N	24	20.5	2	372317	4017658	2	4017658	SUM-159_NLS_2N_C_A11_seed	1017131.99538442	0.502498267330978	46.5573703664746	1.18935439142098	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	13
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	2N	25	0	5	505743.5	5751437	1	5751437	SUM-159_NLS_2N_O1_A11_seed	394627.972171329	-0.248086145281103	51.0717736280225	0.502224726321462	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	13
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	2N	25	0	5	505743.5	5751437	1	5751437	SUM-159_NLS_2N_O2_A11_seed	394627.972171329	-0.248086145281103	51.0717736280225	0.477939108571687	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	13
20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	2N	26	20.5	3	441031	6546749	3	6546749	SUM-159_NLS_2N_C_A12_seed	1991431.72743602	0.502497984097596	46.6175355757789	0.899202900591717	NA	0	200	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	14
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	2N	27	0	7	389333.5	7768840	1	7768840	SUM-159_NLS_2N_O1_A12_seed	305079.149682884	-0.243865052703912	51.9930101494432	0.432618047777567	NA	0	200	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	14
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	2N	27	0	7	389333.5	7768840	1	7768840	SUM-159_NLS_2N_O2_A12_seed	305079.149682884	-0.243865052703912	51.9930101494432	0.43743905615452	NA	0	200	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	14
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	2N	28	0	6	601545	8159287.5	1	8159287.5	SUM-159_NLS_2N_O1_A13_seed	473634.299981017	-0.23906584069025	53.0545185900333	0.42734132525493	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	15
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	2N	28	0	6	601545	8159287.5	1	8159287.5	SUM-159_NLS_2N_O2_A13_seed	473634.299981017	-0.23906584069025	53.0545185900333	0.455260826116619	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	15
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	2N	29	0	7	470653.5	6028816	1	6028816	SUM-159_NLS_2N_O1_A14_seed	372594.442461131	-0.23363161199654	54.2695813926511	0.359204449551509	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	16
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	2N	29	0	7	470653.5	6028816	1	6028816	SUM-159_NLS_2N_O2_A14_seed	372594.442461131	-0.23363161199654	54.2695813926511	0.398345550086726	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	16
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	2N	30	0	4	819326.5	5558719.5	1	5558719.5	SUM-159_NLS_2N_O1_A15_seed	652602.278059253	-0.227514786412481	55.6488503845263	0.47893581972953	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	17
