seed,rank,cohort,day,n_tumors,observed_burden_min,observed_burden_max,observed_burden_cv,n_unique_predicted_burdens,predicted_burden_min,predicted_burden_max
seed90,5,4N,81,2,919.1375,1463.414,0.32306676601994117,1,2065.32791443617,2065.32791443617
seed90,5,4N,84,2,1802.112,2058.75,0.09400515745455452,1,2589.32911660557,2589.32911660557
seed90,5,4N,88,2,2044.224,3239.532,0.31992786661856826,1,3504.73031779402,3504.73031779402
seed90,5,4N,91,2,2423.025,3914.144,0.3327606874476926,1,4400.85046308011,4400.85046308011
seed391,6,2N,25,4,40.0,647.149,1.110882140241626,1,250.9978488436,250.9978488436
seed391,6,2N,28,4,125.44,379.906,0.3933106954199328,1,312.306096063205,312.306096063205
seed391,6,2N,32,4,274.4435,459.472,0.21806776180638365,1,414.516593722027,414.516593722027
seed391,6,2N,35,4,448.0,689.7,0.17582474317563862,1,510.318507712438,510.318507712438
seed391,6,2N,39,4,499.23,958.8125,0.2532672653679139,1,670.649262841445,670.649262841445
seed391,6,2N,42,4,741.576,1379.742,0.2610114229161311,1,821.464261478826,821.464261478826
seed391,6,2N,46,4,724.271,1335.1,0.3116863536745891,1,1074.74023870552,1074.74023870552
seed391,6,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1313.76312330553,1313.76312330553
seed391,6,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1716.46524091486,1716.46524091486
seed391,6,2N,56,4,1683.136,3375.352,0.3431351669384108,1,2097.66467531188,2097.66467531188
seed391,6,4N,35,2,73.2305,113.715,0.30625893089640327,1,105.068399184426,105.068399184426
seed391,6,4N,39,2,117.6,207.1035,0.389823526940302,1,126.875073882671,126.875073882671
seed391,6,4N,42,2,109.8,340.9175,0.7251759760864928,1,147.982112679975,147.982112679975
seed391,6,4N,46,3,13.95,471.3705,0.9196487047263852,1,184.601181677066,184.601181677066
seed391,6,4N,49,3,50.625,848.718,1.0268446308237722,1,220.32182888534,220.32182888534
seed391,6,4N,53,3,126.15,1079.09,0.9589750011682227,1,282.595753448775,282.595753448775
seed391,6,4N,56,4,95.506,1385.208,1.1107289031818546,1,343.520998831962,343.520998831962
seed391,6,4N,60,4,214.2425,1734.104,1.037838780607292,1,449.91572932516,449.91572932516
seed391,6,4N,63,4,312.05,1898.6355,0.9017640864164814,1,554.096757274705,554.096757274705
seed391,6,4N,67,4,452.824,2810.712,0.8612775705369408,1,736.083572959185,736.083572959185
seed391,6,4N,70,4,458.397,3139.0625,0.8437778961194023,1,914.271417046984,914.271417046984
seed391,6,4N,74,4,779.76,4139.96,0.7920665313577271,1,1225.42780663969,1225.42780663969
seed391,6,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1529.93559184176,1529.93559184176
seed391,6,4N,81,2,919.1375,1463.414,0.32306676601994117,1,2061.3350492476,2061.3350492476
seed391,6,4N,84,2,1802.112,2058.75,0.09400515745455452,1,2581.01871340109,2581.01871340109
seed391,6,4N,88,2,2044.224,3239.532,0.31992786661856826,1,3487.23383278699,3487.23383278699
