solution	objective	N_ref	target_oxygen_pct	evaluated_oxygen_pct_vivo	evaluated_oxygen_pct_vitro	function_name	vivo_value	vitro_value	vivo_minus_vitro	vivo_to_vitro_ratio
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	20.5	5	5	death_rate	4.92035445616569e-05	0.00120350915401258	-0.00115430560945092	0.0408833986826016
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	20.5	5	5	buffer_death_rate	0.0232478510402551	0.304824258665981	-0.281576407625726	0.0762664072144256
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	20.5	5	5	misseg_nonviable_rate	0.0232227685147813	0.30460768225598	-0.281384913741199	0.0762382890109312
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	20.5	5	5	boundary_dropped_rate	2.50825254738276e-05	0.000216576410000678	-0.00019149388452685	0.11581374662988
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	20.5	5	5	net_growth_rate	0.133656484529999	1.17328802839375	-1.03963154386375	0.113916175138152
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	0	0	0	ms_rate	0.177274636444701	0.0103290231451046	0.166945613299596	17.1627688266649
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	0	0	0	proliferation_rate	0.0871421469137614	0.8990101290862	-0.811867982172439	0.0969312181191297
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	0	0	0	death_rate	0.0498842540247737	0.005	0.0448842540247737	9.97685080495474
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	0	0	0	buffer_death_rate	0.1544722267159	0.547658922961777	-0.393186696245877	0.282059179973739
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	0	0	0	misseg_nonviable_rate	0.154472226704203	0.547658922961777	-0.393186696257574	0.282059179952381
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	0	0	0	boundary_dropped_rate	1.169676446014e-11	0	1.169676446014e-11	NA
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	0	0	0	net_growth_rate	0.0372578928889877	0.8940101290862	-0.856752236197212	0.0416750232204531
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	1	1	1	ms_rate	0.0886029138326589	0.0102336769303735	0.0783692369022854	8.65797449298853
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	1	1	1	proliferation_rate	0.219944393329964	0.997758053326133	-0.777813659996169	0.220438604927072
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	1	1	1	death_rate	0.00245756014239066	0.00351545286088025	-0.00105789271848959	0.69907355884024
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	1	1	1	buffer_death_rate	0.289510697557985	0.603134383559805	-0.31362368600182	0.480010268771682
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	1	1	1	misseg_nonviable_rate	0.289510697557985	0.603134383559805	-0.31362368600182	0.480010268771682
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	1	1	1	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	1	1	1	net_growth_rate	0.217486833187574	0.994242600465253	-0.776755767277679	0.218746242703543
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	5	5	5	ms_rate	0.0117973347991755	0.00869088949003908	0.00310644530913642	1.35743698187589
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	5	5	5	proliferation_rate	0.237336465426168	1.28138865143727	-1.0440521860111	0.185218173393341
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	5	5	5	death_rate	0.000177047197381394	0.000523857785978845	-0.000346810588597451	0.33796805568247
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	5	5	5	buffer_death_rate	0.0625962245254466	0.674537453429164	-0.611941228903717	0.0927987381682433
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	5	5	5	misseg_nonviable_rate	0.0625962245254466	0.674537453429164	-0.611941228903717	0.0927987381682433
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	5	5	5	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	5	5	5	net_growth_rate	0.237159418228786	1.28086479365129	-1.0437053754225	0.185155700589388
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	20.5	5	5	ms_rate	0.0117973347991755	0.00869088949003908	0.00310644530913642	1.35743698187589
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	20.5	5	5	proliferation_rate	0.237336465426168	1.28138865143727	-1.0440521860111	0.185218173393341
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	20.5	5	5	death_rate	0.000177047197381394	0.000523857785978845	-0.000346810588597451	0.33796805568247
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	20.5	5	5	buffer_death_rate	0.0625962245254466	0.674537453429164	-0.611941228903717	0.0927987381682433
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	20.5	5	5	misseg_nonviable_rate	0.0625962245254466	0.674537453429164	-0.611941228903717	0.0927987381682433
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	20.5	5	5	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	44	20.5	5	5	net_growth_rate	0.237159418228786	1.28086479365129	-1.0437053754225	0.185155700589388
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	0	0	0	ms_rate	0.185411914576293	0.0104593422350719	0.174952572341221	17.7269191894856
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	0	0	0	proliferation_rate	0.0174867341381391	0.558573282267436	-0.541086548129297	0.0313060697553499
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	0	0	0	death_rate	0.319403449803387	0.0114869835499703	0.307916466253417	27.8056853145065
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	0	0	0	buffer_death_rate	0.0265247782997493	0.156177070191332	-0.129652291891583	0.16983785306802
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	0	0	0	misseg_nonviable_rate	0.0265245614164627	0.155992067708264	-0.129467506291801	0.170037885939616
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	0	0	0	boundary_dropped_rate	2.16883286602453e-07	0.000185002483068234	-0.000184785599781632	0.00117232635478985
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	0	0	0	net_growth_rate	-0.301916715665248	0.547086298717466	-0.849003014382714	-0.551863054097738
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	1	1	1	ms_rate	0.159301819557661	0.0104165646519538	0.148885254905707	15.2931244494106
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	1	1	1	proliferation_rate	0.14709012588808	0.676177866647284	-0.529087740759204	0.217531707474251
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	1	1	1	death_rate	0.0157354901446267	0.00807638983672554	0.00765910030790116	1.94833217102438
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	1	1	1	buffer_death_rate	0.207254610018581	0.188342803195598	0.018911806822983	1.10041162445343
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	1	1	1	misseg_nonviable_rate	0.20725278569909	0.188118849440027	0.019133936259063	1.10171195664878
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	1	1	1	boundary_dropped_rate	1.82431949141364e-06	0.000223953755571209	-0.000222129436079795	0.00814596516481982
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	1	1	1	net_growth_rate	0.131354635743454	0.668101476810559	-0.536746841067105	0.196608809144572
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	5	5	5	ms_rate	0.0550116683725453	0.00965695900944577	0.0453547093630995	5.69658298422274
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	5	5	5	proliferation_rate	0.228536840308347	1.17449153754776	-0.945954697239413	0.194583641518195
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	5	5	5	death_rate	0.00113361393744717	0.00120350915401258	-6.98952165654101e-05	0.941923818084495
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	5	5	5	buffer_death_rate	0.156485881467394	0.304917229671272	-0.148431348203878	0.513207737181988
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	5	5	5	misseg_nonviable_rate	0.156483046986087	0.304528231740854	-0.148045184754767	0.513853990126112
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	5	5	5	boundary_dropped_rate	2.83448130704463e-06	0.000388997930418255	-0.00038616344911121	0.00728662310361642
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	5	5	5	net_growth_rate	0.2274032263709	1.17328802839375	-0.94588480202285	0.193817051625609
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	20.5	5	5	ms_rate	0.0550116683725453	0.00965695900944577	0.0453547093630995	5.69658298422274
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	20.5	5	5	proliferation_rate	0.228536840308347	1.17449153754776	-0.945954697239413	0.194583641518195
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	20.5	5	5	death_rate	0.00113361393744717	0.00120350915401258	-6.98952165654101e-05	0.941923818084495
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	20.5	5	5	buffer_death_rate	0.156485881467394	0.304917229671272	-0.148431348203878	0.513207737181988
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	20.5	5	5	misseg_nonviable_rate	0.156483046986087	0.304528231740854	-0.148045184754767	0.513853990126112
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	20.5	5	5	boundary_dropped_rate	2.83448130704463e-06	0.000388997930418255	-0.00038616344911121	0.00728662310361642
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	88	20.5	5	5	net_growth_rate	0.2274032263709	1.17328802839375	-0.94588480202285	0.193817051625609
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	0	0	0	ms_rate	0.122017465645988	0.0103290231451046	0.111688442500883	11.8130692449671
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	0	0	0	proliferation_rate	0.16445109721063	0.8990101290862	-0.73455903187557	0.182924632203851
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	0	0	0	death_rate	0.0517425924579758	0.005	0.0467425924579758	10.3485184915952
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	0	0	0	buffer_death_rate	0.221212683870534	0.547579242236786	-0.326366558366252	0.403982961382741
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	0	0	0	misseg_nonviable_rate	0.221212683870534	0.547579242236786	-0.326366558366252	0.403982961382741
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	0	0	0	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	0	0	0	net_growth_rate	0.112708504752654	0.8940101290862	-0.781301624333546	0.12607072457653
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	1	1	1	ms_rate	0.113270890783247	0.0102336769303735	0.103037213852873	11.06844505195
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	1	1	1	proliferation_rate	0.199957858429091	0.997758053326133	-0.797800194897042	0.200407160596209
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	1	1	1	death_rate	0.024178609695594	0.00351545286088025	0.0206631568347137	6.87780796740361
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	1	1	1	buffer_death_rate	0.25793444410292	0.603046631524853	-0.345112187421933	0.427718903678662
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	1	1	1	misseg_nonviable_rate	0.25793444410292	0.603046631524853	-0.345112187421933	0.427718903678662
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	1	1	1	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	1	1	1	net_growth_rate	0.175779248733497	0.994242600465253	-0.818463351731756	0.176797140508002
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	5	5	5	ms_rate	0.0149876252130178	0.00869088949003908	0.00629673572297872	1.72452143479624
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	5	5	5	proliferation_rate	0.246385406039043	1.28138865143727	-1.03500324539823	0.192279996988177
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	5	5	5	death_rate	0.000122330831135028	0.000523857785978845	-0.000401526954843817	0.233519161897057
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	5	5	5	buffer_death_rate	0.0625159951765797	0.674439312723208	-0.611923317546628	0.0926932846250563
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	5	5	5	misseg_nonviable_rate	0.0625159951765797	0.674439312723208	-0.611923317546628	0.0926932846250563
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	5	5	5	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	5	5	5	net_growth_rate	0.246263075207908	1.28086479365129	-1.03460171844338	0.192263130682123
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	20.5	5	5	ms_rate	0.0149876252130178	0.00869088949003908	0.00629673572297872	1.72452143479624
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	20.5	5	5	proliferation_rate	0.246385406039043	1.28138865143727	-1.03500324539823	0.192279996988177
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	20.5	5	5	death_rate	0.000122330831135028	0.000523857785978845	-0.000401526954843817	0.233519161897057
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	20.5	5	5	buffer_death_rate	0.0625159951765797	0.674439312723208	-0.611923317546628	0.0926932846250563
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	20.5	5	5	misseg_nonviable_rate	0.0625159951765797	0.674439312723208	-0.611923317546628	0.0926932846250563
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	20.5	5	5	boundary_dropped_rate	0	0	0	NA
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	44	20.5	5	5	net_growth_rate	0.246263075207908	1.28086479365129	-1.03460171844338	0.192263130682123
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	0	0	0	ms_rate	0.129392168272344	0.0104593422350719	0.118932826037272	12.3709661051601
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	0	0	0	proliferation_rate	0.0628494467284148	0.558573282267436	-0.495723835539021	0.112517817668056
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	0	0	0	death_rate	0.303696633796172	0.0114869835499703	0.292209650246202	26.4383275622395
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	0	0	0	buffer_death_rate	0.085075343627622	0.156235616159575	-0.071160272531953	0.544532326999807
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	0	0	0	misseg_nonviable_rate	0.0850503470218145	0.155969371901573	-0.0709190248797585	0.54530159341468
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	0	0	0	boundary_dropped_rate	2.49966058074879e-05	0.000266244258002044	-0.000241247652194556	0.0938859902371904
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	0	0	0	net_growth_rate	-0.240847187067757	0.547086298717466	-0.787933485785223	-0.440236188755549
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	1	1	1	ms_rate	0.127578627328751	0.0104165646519538	0.117162062676797	12.2476681700259
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	1	1	1	proliferation_rate	0.104225571833648	0.676177866647284	-0.571952294813636	0.154139283426169
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	1	1	1	death_rate	0.141913306342104	0.00807638983672554	0.133836916505378	17.5713789466657
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	1	1	1	buffer_death_rate	0.140002155984972	0.188413779947555	-0.048411623962583	0.743056882696911
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	1	1	1	misseg_nonviable_rate	0.13996070318515	0.188091479400611	-0.048130776215461	0.744109747188768
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	1	1	1	boundary_dropped_rate	4.14527998224661e-05	0.000322300546943662	-0.000280847747121196	0.12861535673941
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	1	1	1	net_growth_rate	-0.0376877345084559	0.668101476810559	-0.705789211319015	-0.0564101948829284
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	5	5	5	ms_rate	0.0289730305010756	0.00965695900944577	0.0193160714916298	3.00022299698447
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	5	5	5	proliferation_rate	0.24498259080374	1.17449153754776	-0.92950894674402	0.20858608425161
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	5	5	5	death_rate	0.000718005416048097	0.00120350915401258	-0.000485503737964483	0.596593232094844
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	5	5	5	buffer_death_rate	0.109087591913803	0.305043746940288	-0.195956155026485	0.357612942432014
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	5	5	5	misseg_nonviable_rate	0.108990156955012	0.304483924911789	-0.195493767956777	0.357950446765251
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	5	5	5	boundary_dropped_rate	9.74349587909675e-05	0.000559822028498611	-0.000462387069707643	0.174046310846822
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	5	5	5	net_growth_rate	0.244264585387692	1.17328802839375	-0.929023443006058	0.208188082956999
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	20.5	5	5	ms_rate	0.0289730305010756	0.00965695900944577	0.0193160714916298	3.00022299698447
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	20.5	5	5	proliferation_rate	0.24498259080374	1.17449153754776	-0.92950894674402	0.20858608425161
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	20.5	5	5	death_rate	0.000718005416048097	0.00120350915401258	-0.000485503737964483	0.596593232094844
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	20.5	5	5	buffer_death_rate	0.109087591913803	0.305043746940288	-0.195956155026485	0.357612942432014
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	20.5	5	5	misseg_nonviable_rate	0.108990156955012	0.304483924911789	-0.195493767956777	0.357950446765251
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	20.5	5	5	boundary_dropped_rate	9.74349587909675e-05	0.000559822028498611	-0.000462387069707643	0.174046310846822
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	88	20.5	5	5	net_growth_rate	0.244264585387692	1.17328802839375	-0.929023443006058	0.208188082956999
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	0	0	0	ms_rate	0.49262820304802	0.0103234549088193	0.482304748139201	47.7193156166323
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	0	0	0	proliferation_rate	0.0319281302697674	0.897607881561633	-0.865679751291866	0.0355702427815359
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	0	0	0	death_rate	0.161400185956118	0.005	0.156400185956118	32.2800371912236
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	0	0	0	buffer_death_rate	0.0454812599890946	0.546564855523942	-0.501083595534847	0.0832129243756367
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	0	0	0	misseg_nonviable_rate	0.0417295415227509	0.546564855523942	-0.504835314001191	0.0763487463582864
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	0	0	0	boundary_dropped_rate	0.00375171846634376	0	0.00375171846634376	NA
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	0	0	0	net_growth_rate	-0.129472055686351	0.892607881561633	-1.02207993724798	-0.14504919613732
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	1	1	1	ms_rate	0.279172183884479	0.0102191102866782	0.268953073597801	27.3186389081653
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	1	1	1	proliferation_rate	0.126144055368417	1.00338626161238	-0.877242206243963	0.125718340179096
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	44	1	1	1	death_rate	0.00306081247174549	0.00341867906561574	-0.00035786659387025	0.895320213742908
