seed	cohort	lineage_id	scenario_id	passage_id	passage_index	passage_duration	endpoint_day	selected_day	closest_day_diagnostic	predicted_initial_cells	predicted_final_cells	observed_initial_cells	observed_final_cells	predicted_growth	observed_growth	passage_recorded	available_cells	required_cells	supply_ratio	reseed_mode	boundary_scale	cell_number_before	cell_number_after	cumulative_time
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A12_seed	12	5	5	5	5	465640	3244112.54874378	465640	4086049	0.388236861137478	0.440115624122669	TRUE	3244112.54874378	764185	4.24519265458467	downsample_to_observed_inoculum	0.235560569652836	3244112.54874378	764185	57
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A13_seed	13	2	2	2	2	764185	1661019.62697522	764185	1605234	0.38818850972681	0.371107456439524	TRUE	1661019.62697522	444475	3.73703723938405	downsample_to_observed_inoculum	0.26759166043655	1661019.62697522	444475	59
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A14_seed	14	10	10	10	7	444475	21547992.266159	444475	7571667	0.388114411448548	0.295310180980102	TRUE	21547992.266159	296317	72.7193926307265	downsample_to_observed_inoculum	0.0137514899921959	21547992.266159	296317	69
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A15_seed	15	12	12	12	8	296317	31178368.3974982	296317	6271662	0.38800416546085	0.276107884181598	TRUE	31178368.3974982	403258	77.3161807019283	downsample_to_observed_inoculum	0.0129339032388994	31178368.3974982	403258	81
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A16_seed	16	14	14	14	8	403258	92061106.9220437	403258	8329168	0.387902234685743	0.225290065289268	TRUE	92061106.9220437	824339	111.678698838759	downsample_to_observed_inoculum	0.00895425905206681	92061106.9220437	824339	95
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A17_seed	17	5	5	5	5	824339	5732106.13731724	824339	6259408	0.387851290466822	0.416428545920834	TRUE	5732106.13731724	627166	9.13969529170465	downsample_to_observed_inoculum	0.109412837964917	5732106.13731724	627166	100
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A18_seed	18	5	5	5	5	627166	4360506.966846	627166	4309957	0.387826469599969	0.368994265221723	TRUE	4360506.966846	601545	7.24884583338902	downsample_to_observed_inoculum	0.13795299596439	4360506.966846	601544.999999999	105
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A19_seed	19	7	7	7	6	601544.999999999	9082413.22696491	601545	5339267	0.387799123513509	0.315246218861754	TRUE	9082413.22696491	812086	11.1840534462667	downsample_to_observed_inoculum	0.0894130204942654	9082413.22696491	812086	112
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A20_seed	20	3	3	3	3	812086	2599162.04515697	812086	4743292	0.387779378618375	0.588293480836589	TRUE	2599162.04515697	607115	4.28116921037526	downsample_to_observed_inoculum	0.233581050143156	2599162.04515697	607115	115
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A21_seed	21	5	5	5	5	607115	4219787.6505442	607115	7502229	0.387764371306028	0.484315596857106	TRUE	4219787.6505442	618254	6.82533012409819	downsample_to_observed_inoculum	0.146513059708174	4219787.6505442	618254	120
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A22_seed	22	5	5	5	5	618254	4296838.62608769	618254	7237475	0.387747090359311	0.471867487676023	TRUE	4296838.62608769	NA	NA	terminal_no_reseed	1	4296838.62608769	4296838.62608769	125
10	4N	O2	4N-O2	SUM-159_NLS_4N_O2_A1_seed	1	3	3	3	2	1201324	7433325.75264437	1201324	4830305	0.60751636269047	0.463828443588774	TRUE	7433325.75264437	462066	16.0871515165461	downsample_to_observed_inoculum	0.0621614086851531	7433325.75264437	462066	3
10	4N	O2	4N-O2	SUM-159_NLS_4N_O2_A2_seed	2	5	5	5	4	462066	4938628.84567922	462066	3662870	0.473827054405947	0.423293978638455	TRUE	4938628.84567922	990041	4.98830739906653	downsample_to_observed_inoculum	0.200468800336389	4938628.84567922	990041	8
10	4N	O2	4N-O2	SUM-159_NLS_4N_O2_A3_seed	3	5	5	5	4	990041	7901453.21570006	990041	5321118	0.415411123296013	0.317783675910682	TRUE	7901453.21570006	572148	13.8101561408937	downsample_to_observed_inoculum	0.0724104774629496	7901453.21570006	572147.999999999	13
