pair,rank,seed,optimizer_name,initial,final,abs_move
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_O2_crit,-0.153560015107474,-0.155831444196523,0.0022714290890490096
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_alpha_o2,0.101371914305943,0.101371914305943,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,gamma_growth,1.87124074243996,1.87124074243996,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_mu_hp,-1.54656298245412,-1.54656298245412,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_p_misseg,-1.13881643036999,-1.13881643036999,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_k_o_mis,-3.28161315880086,-3.28161315880086,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,buffer_smax,0.997390253792811,0.997390253792811,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_buffer_beta,-0.575886287278859,-0.575886287278859,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_buffer_n_exp,-0.0657285004210214,-0.0657285004210214,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,n_O,2.55517829746501,2.55517829746501,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_lam_max,-0.37154577691773,-0.37154577691773,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_p_mis_base,-4.64212308426928,-4.64212308426928,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,log10_p_wgd,-3.30859788526459,-3.30859788526459,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,gamma_mu,1.85826385827691,1.93730860613635,0.07904474785944005
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,delta__log10_O2_crit,-0.707839637125871,-0.707839637125871,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,delta__log10_alpha_o2,0.804803819939848,0.804803819939848,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,delta__gamma_growth,0.74248148487991,0.74248148487991,0.0
