fit,seed,rank,parameter,value,lower,upper,status
invivo,seed90,5,mu_hp,0.005,0.005,0.3,lower
invivo,seed90,5,gamma_mu,2.98933266707909,1.2,3.5,interior
invivo,seed90,5,O2_crit,0.654419256922125,0.1,2.5,interior
invivo,seed90,5,n_O,1.46199309937803,0.5,5.0,interior
invivo,seed90,5,k_clear,0.0070529358205457,0.005,0.3,interior
invivo,seed90,5,sigma_burden,0.15,0.1,0.15,upper
invivo,seed90,5,p_mis_base,0.0001043659413478,1e-06,0.1,interior
invivo,seed391,6,lam_max,0.3,0.005,0.3,upper
invivo,seed391,6,p_misseg,0.5,0.005,0.5,upper
invivo,seed391,6,k_o_mis,0.0015737500072726,0.001,0.02,interior
invivo,seed391,6,buffer_smax,0.916018806477247,0.0,1.0,interior
invivo,seed391,6,buffer_beta,0.691409910534925,0.01,10.0,interior
invivo,seed391,6,buffer_n_exp,7.76637041942925,0.1,10.0,interior
invivo,seed391,6,p_wgd,7.45685312461125e-05,1e-05,0.001,interior
invivo,seed391,6,o2_S0,5.0,2.0,5.0,upper
invivo,seed391,6,kappa_O,0.115636159291711,0.1,1.2,interior
invivo,seed391,6,eta_o2,1.15226419734856,1.0,2.0,interior
invivo,seed391,6,rho_2N,71843.8026420501,50000.0,500000.0,interior
invivo,seed391,6,alpha_o2,0.830917707375158,0.5,4.0,interior
invivo,seed391,6,gamma_growth,1.73845425103842,1.5,4.5,interior
invivo,seed391,6,mu_hp,0.0059204618684304,0.005,0.3,interior
invivo,seed391,6,gamma_mu,3.02016035520097,1.2,3.5,interior
invivo,seed391,6,O2_crit,0.653580687155233,0.1,2.5,interior
invivo,seed391,6,n_O,2.19733943748816,0.5,5.0,interior
invivo,seed391,6,k_clear,0.0060226565535478,0.005,0.3,interior
invivo,seed391,6,sigma_burden,0.15,0.1,0.15,upper
invivo,seed391,6,p_mis_base,1.92092612950088e-06,1e-06,0.1,interior
invivo,seed264,7,lam_max,0.212355324278018,0.005,0.3,interior
invivo,seed264,7,p_misseg,0.293172438109976,0.005,0.5,interior
invivo,seed264,7,k_o_mis,0.0021665505461239,0.001,0.02,interior
invivo,seed264,7,buffer_smax,0.919495055822044,0.0,1.0,interior
invivo,seed264,7,buffer_beta,0.257209792575959,0.01,10.0,interior
invivo,seed264,7,buffer_n_exp,9.08611842004779,0.1,10.0,interior
invivo,seed264,7,p_wgd,6.27254017055485e-05,1e-05,0.001,interior
invivo,seed264,7,o2_S0,3.13943134942271,2.0,5.0,interior
invivo,seed264,7,kappa_O,0.820616381440994,0.1,1.2,interior
invivo,seed264,7,eta_o2,1.47350758791888,1.0,2.0,interior
invivo,seed264,7,rho_2N,120397.107645247,50000.0,500000.0,interior
invivo,seed264,7,alpha_o2,1.21308729380556,0.5,4.0,interior
invivo,seed264,7,gamma_growth,3.44346740161635,1.5,4.5,interior
invivo,seed264,7,mu_hp,0.0376494928004025,0.005,0.3,interior
invivo,seed264,7,gamma_mu,2.9410038149074,1.2,3.5,interior
invivo,seed264,7,O2_crit,0.216117758995733,0.1,2.5,interior
invivo,seed264,7,n_O,2.41853201480817,0.5,5.0,interior
invivo,seed264,7,k_clear,0.0073027859665465,0.005,0.3,interior
invivo,seed264,7,sigma_burden,0.15,0.1,0.15,upper
invivo,seed264,7,p_mis_base,0.0006785786940161,1e-06,0.1,interior
invivo,seed109,8,lam_max,0.207632889721704,0.005,0.3,interior
invivo,seed109,8,p_misseg,0.392821611653708,0.005,0.5,interior
invivo,seed109,8,k_o_mis,0.0129509629978223,0.001,0.02,interior
