pair,rank,seed,context,O2,N,p_mis
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,0.1,88,0.010461839677652792
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,0.5,44,0.4608490668564186
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,0.5,44,0.010305815569738523
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,0.5,88,0.4927209865715881
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,0.5,88,0.01045067167626319
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,1.0,44,0.29807050874218627
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,1.0,44,0.010236755670609006
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,1.0,88,0.44709669658958723
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,1.0,88,0.010419643392189157
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,2.0,44,0.06868898603583487
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,2.0,44,0.009992250209768882
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,2.0,88,0.23834434328643136
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,2.0,88,0.010307886692447489
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,5.0,44,0.004101218561058019
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,5.0,44,0.008693968230275108
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,5.0,88,0.022399709448466656
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,5.0,88,0.009660037749681478
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,0.0,44,0.49264506342332137
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,0.0,44,0.010325497122774
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,0.0,88,0.49872816188332075
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,0.0,88,0.010455816212741267
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,0.1,44,0.49246081206891035
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,0.1,44,0.01032419484174216
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,0.1,88,0.49869515121132646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,0.1,88,0.010455234915086778
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,0.5,44,0.4608400709861524
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,0.5,44,0.010299210807172509
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,0.5,88,0.4927119907013219
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,0.5,88,0.010444066913697175
