harvest	day	burden	cohort	dose	treat_day	harvest_day	included_under_config	objective_observed_day_max	burden_present	used_in_burden_loss
SUM159-4N-0-R_harvest	42	109.8	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	46	261.612	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	49	295.245	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	53	352.352	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	56	424.128	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	60	601.859	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	63	730.6815	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	67	1048.576	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	70	1140.625	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	74	1741.368	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	77	2096.976	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	0	0	4N	0	46	77	TRUE	77	TRUE	FALSE
SUM159-4N-0-L_harvest	25	0	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	28	0	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	32	50.8475	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	35	113.715	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	39	207.1035	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	42	340.9175	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	46	471.3705	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-L_harvest	49	848.718	4N	0	46	77	TRUE	77	TRUE	TRUE
